,ICD11_Code,Ayurveda_NAMC_CODE,Siddha_NAMC_CODE,Unani_NUMC_CODE,ICD11_Title
0,,AAA-2.4,WAB1.12,P-7,Certain infectious or parasitic diseases
1,,SR81 (CB-1),ECB1.1,F-92.18,Gastroenteritis or colitis of infectious origin
2,,EB-2.8,TDB1.7,F-92.10,Bacterial intestinal infections
3,1A00,SP58(EC-3.10.2),AEC1.1,F-92.5,Cholera
4,1A01,SM72(EB-9.4),WAB1.4,F-92.5,Intestinal infection due to other Vibrio
5,1A02,EB-9.1,WAB1.2,F-92.10,Intestinal infections due to Shigella
6,1A03,EB-9.1,EFA1.2,F-92.18,Intestinal infections due to Escherichia coli
7,1A03.0,EB-9.1,YF34,F-92.18,Enteropathogenic Escherichia coli infection
8,1A03.1,EB-9.1,YF34,F-92.9,Enterotoxigenic Escherichia coli infection
9,1A03.2,EB-9.1,YF34,F-92.18,Enteroinvasive Escherichia coli infection
10,1A03.3,EB-9.1,YF34,F-92.18,Enterohaemorrhagic Escherichia coli infection
11,1A03.Y,EB-9.1,EFA1.2,F-92.18,Intestinal infections due to other specified Escherichia coli
12,1A03.Z,EB-2.8,YF34,F-92.10,"Intestinal infections due to Escherichia coli, unspecified"
13,1A04,EB-2.8,ECB1.1,FE,Intestinal infections due to Clostridioides difficile
14,1A05,EB-9.1,EFA1.2,F-92.18,Intestinal infections due to Yersinia enterocolitica
15,1A06,EB-2.16,ECB1.1,F-92.14,Gastroenteritis due to Campylobacter
16,1A07,PE-1.3.1.4,WAB1.8,K-1.1.9,Typhoid fever
17,1A07.0,EB-2.8,YB1,M-42,Typhoid peritonitis
18,1A07.Y,PE-1.3.1.4,WAB1.8,K-9,Other specified typhoid fever
19,1A07.Z,PE-1.3.1.4,WAB1.8,K-9,"Typhoid fever, unspecified"
20,1A08,PE-1.3.1.4,WAB1.8,K-9,Paratyphoid fever
21,1A09,SP58(EC-3.10.2),WAA1.2,F-92.18,Infections due to other Salmonella
22,1A09.0,EA-3.8,EFA1.2,FE,Salmonella enteritis
23,1A09.Y,SP58(EC-3.10.2),WAB1.4,F-92.18,Infections due to other Salmonella in other organs
24,1A09.Z,EA-3.8,WAA1.2,K-1.1.23,"Salmonella infection, unspecified"
25,1A0Y,EB-2.8,ECB1.1,F-92.10,Other specified bacterial intestinal infections
26,1A0Z,EB-2.8,ECB1.1,F-92.10,"Bacterial intestinal infections, unspecified"
27,,SM3E(EB-10.11),YF18,,Bacterial foodborne intoxications
28,1A10,SM3E(EB-10.11),TIA1.5,,Foodborne staphylococcal intoxication
29,1A11,GD-3,Z$22,A-33.6,Botulism
